app,metric,date,field,value
dailypick,dau,2026-06-11,users,6
dailypick,dau,2026-06-11,new_users,6
dailypick,dau,2026-06-12,users,1
dailypick,dau,2026-06-12,new_users,0
dailypick,dau,2026-06-13,users,3
dailypick,dau,2026-06-13,new_users,2
dailypick,dau,2026-06-14,users,2
dailypick,dau,2026-06-14,new_users,0
dailypick,dau,2026-06-15,users,3
dailypick,dau,2026-06-15,new_users,1
dailypick,dau,2026-06-16,users,260
dailypick,dau,2026-06-16,new_users,259
dailypick,dau,2026-06-17,users,178
dailypick,dau,2026-06-17,new_users,175
dailypick,dau,2026-06-18,users,87
dailypick,dau,2026-06-18,new_users,85
dailypick,dau,2026-06-19,users,60
dailypick,dau,2026-06-19,new_users,57
dailypick,dau,2026-06-20,users,26
dailypick,dau,2026-06-20,new_users,22
dailypick,dau,2026-06-21,users,27
dailypick,dau,2026-06-21,new_users,23
dailypick,dau,2026-06-22,users,7
dailypick,dau,2026-06-22,new_users,5
dailypick,dau,2026-06-23,users,9
dailypick,dau,2026-06-23,new_users,4
dailypick,dau,2026-06-24,users,2
dailypick,dau,2026-06-24,new_users,0
dailypick,dau,2026-06-25,users,6
dailypick,dau,2026-06-25,new_users,6
dailypick,dau,2026-06-26,users,3
dailypick,dau,2026-06-26,new_users,1
dailypick,dau,2026-06-27,users,3
dailypick,dau,2026-06-27,new_users,1
dailypick,dau,2026-06-28,users,2
dailypick,dau,2026-06-28,new_users,1
dailypick,dau,2026-06-29,users,6
dailypick,dau,2026-06-29,new_users,2
dailypick,dau,2026-06-30,users,1
dailypick,dau,2026-06-30,new_users,0
dailypick,dau,2026-07-01,users,15
dailypick,dau,2026-07-01,new_users,13
dailypick,dau,2026-07-02,users,4
dailypick,dau,2026-07-02,new_users,2
dailypick,dau,2026-07-03,users,3
dailypick,dau,2026-07-03,new_users,1
dailypick,dau,2026-07-04,users,1
dailypick,dau,2026-07-04,new_users,0
dailypick,dau,2026-07-06,users,1
dailypick,dau,2026-07-06,new_users,0
dailypick,dau,2026-07-07,users,3
dailypick,dau,2026-07-07,new_users,2
dailypick,dau,2026-07-08,users,2
dailypick,dau,2026-07-08,new_users,2
dailypick,dau,2026-07-09,users,2
dailypick,dau,2026-07-09,new_users,1
dailypick,dau,2026-07-10,users,4
dailypick,dau,2026-07-10,new_users,2
dailypick,dau,2026-07-11,users,2
dailypick,dau,2026-07-11,new_users,0
dailypick,retention_ref,2026-07-11,cohort,검색
dailypick,retention_ref,2026-07-11,first_users,1
dailypick,retention_ref,2026-07-11,w1,0.0
dailypick,retention_ref,2026-07-11,w2,0.0
dailypick,retention_ref,2026-07-11,w3,0.0
dailypick,retention_ref,2026-07-11,cohort,기타
